"AffiliationId","AuthorId","PaperId","AuthorName","AffiliationName"
"0019F74C","041B8CF2","0046B7DC","patrice lerouge","british american tobacco"
"0019F74C","0471146E","0046B7DC","veronique gomord","british american tobacco"
"0019F74C","29AC658A","0046B7DC","loic faye","british american tobacco"
"0019F74C","3F35CC87","0062BB26","mike mcewan","british american tobacco"
"0019F74C","3F601FFA","0062BB26","evan o gregg","british american tobacco"
"0019F74C","3FB35E3A","0062BB26","stefania morandi","british american tobacco"
"0019F74C","401B4743","0062BB26","riccardo puntoni","british american tobacco"
"0019F74C","41D4F11E","0062BB26","alfredo nunziata","british american tobacco"
"0019F74C","421CE48D","0062BB26","antonella bassi","british american tobacco"
"0019F74C","42EEB54C","0062BB26","frazer lowe","british american tobacco"
"0040CEA1","3AD4F40A","00582DD7","akira kishi","rigaku"
"005938C3","41A41B6F","744900","rajesh singh","university of petroleum and energy studies"
"0098F6DC","362A83C4","0070708E","pezhman mirshahi","national institute for medical research"
"0098F6DC","36A91AE1","0070708E","amu therwath","national institute for medical research"
"0098F6DC","3A4CCD99","0070708E","nadia benabbou","national institute for medical research"
"0098F6DC","4095859D","0070708E","massoud mirshahi","national institute for medical research"
"0098F6DC","414F3B45","0070708E","jeannette soria","national institute for medical research"
"0098F6DC","42B69DC2","0070708E","melodie cadillon","national institute for medical research"
"013FBDE4","27C4F80B","004ACAEC","d dudgeon","mit lincoln laboratory"
"013FBDE4","3B0E19D9","006474F7","d a reynolds","mit lincoln laboratory"
"013FBDE4","3B0E19D9","006474F7","d a reynolds","mit lincoln laboratory"
"013FBDE4","3FCAB451","0069D2EA","d sinno","mit lincoln laboratory"
"013FBDE4","3FED3005","513003","c m keller","mit lincoln laboratory"
"013FBDE4","410339EF","513003","m e brown","mit lincoln laboratory"
"013FBDE4","414BD7D2","0069D2EA","h e lambert","mit lincoln laboratory"
"013FBDE4","41F94B3B","006412C1","t q nguyen","mit lincoln laboratory"
"013FBDE4","421DA9D1","006474F7","d sturim","mit lincoln laboratory"
"013FBDE4","421DA9D1","006474F7","d sturim","mit lincoln laboratory"
"013FBDE4","4284D77C","006474F7","w m campbell","mit lincoln laboratory"
"013FBDE4","4284D77C","006474F7","w m campbell","mit lincoln laboratory"
"0179F162","07BCB659","0065D83B","zlatina naydenova","bulgarian academy of sciences"
"0179F162","27FF970D","0065D83B","konstantin grancharov","bulgarian academy of sciences"
"0179F162","28AC58B1","0065D83B","evgeny v golovinsky","bulgarian academy of sciences"
"0179F162","29F6712B","0065D83B","dimitar k alargov","bulgarian academy of sciences"
"0179F162","34304255","0065D83B","pavleta s denkova","bulgarian academy of sciences"
"0179F162","3EB324EA","0054C988","rayna georgieva","bulgarian academy of sciences"
"01C3C23B","3B85D99D","005A65B0","hanna j broome","university of mississippi medical center"
"01C3C23B","3EBC48DD","00647DD3","m prokop","university of mississippi medical center"
"01C3C23B","3F5EADB3","007BD669","matthew t tull","university of mississippi medical center"
"01C3C23B","3F6E19D2","00779E4C","rashmi a kusurkar","university of mississippi medical center"
"01C3C23B","3FDD418E","007BD669","kim l gratz","university of mississippi medical center"
"01C3C23B","40B44F20","005A65B0","michael d hebert","university of mississippi medical center"
"01C3C23B","41171C27","00779E4C","cas kruitwagen","university of mississippi medical center"
"01C3C23B","426391BC","00779E4C","olle ten cate","university of mississippi medical center"
"01E89DDF","0AE99151","687851","martha poisot","university of kiel"
